,Unnamed: 0,site_id,year,day,hour,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,rel_hum,global_horiz_sol_rad
0,61430,7,2016,1,0,-1.8,,-3.2,,1016,280,1.5,91.00,0.00
1,61431,7,2016,1,1,-1.7,,-2.8,,1016.1,260,1,91.00,0.00
2,61432,7,2016,1,2,-2.7,,-3.3,,1015.8,350,0.5,91.00,0.00
3,61433,7,2016,1,3,-2.3,,-3.2,,1015.4,280,1.5,92.00,0.00
4,61434,7,2016,1,4,-2.6,,-3.3,,1015.1,310,2.1,92.00,0.00
5,61435,7,2016,1,5,-2.2,,-3.6,,1014.7,270,2.1,85.00,0.00
6,61436,7,2016,1,6,-2.3,,-3.8,,1014.4,260,2.1,81.00,0.00
7,61437,7,2016,1,7,-2.8,,-4,,1014.2,260,1.5,82.00,0.00
8,61438,7,2016,1,8,-3,,-3.8,5,1014.1,260,1.5,76.00,4
9,61439,7,2016,1,9,-3.3,,-3.8,,1013.3,230,1,77.00,144
10,61440,7,2016,1,10,-3.2,,-3.6,5,1012.9,200,2.1,75.00,316
11,61441,7,2016,1,11,-3.1,,-3.6,,1012.1,190,3.1,73.00,440
12,61442,7,2016,1,12,-3.1,,-3.4,2,1011.9,200,2.1,70.00,507
13,61443,7,2016,1,13,-2.1,,-3.4,,1011.5,210,3.6,69.00,513
14,61444,7,2016,1,14,-1.2,,-2.9,,1011.5,220,3.6,68.00,457
15,61445,7,2016,1,15,-0.7,,-2.7,,1011.6,220,3.6,71.00,343
16,61446,7,2016,1,16,-0.5,,-2.3,,1011.3,230,5.7,72.00,179
17,61447,7,2016,1,17,-0.3,,-2.3,,1010.4,230,5.7,81.00,16
18,61448,7,2016,1,18,-0.3,,-2.8,3,1009.9,230,5.7,85.00,0
19,61449,7,2016,1,19,-0.4,,-2.9,,1009.5,240,4.6,89.00,0
20,61450,7,2016,1,20,-0.7,,-3.3,,1009.3,240,4.6,91.00,0
21,61451,7,2016,1,21,-0.9,,-3.4,,1009.6,240,5.1,94.00,0
22,61452,7,2016,1,22,-1,,-3.9,,1010,240,4.1,93.00,0
23,61453,7,2016,1,23,-2,,-3.2,,1010.7,260,3.6,94.00,0
24,61454,7,2016,2,0,-1.5,,-4.4,,1011,250,4.6,93.00,0
25,61455,7,2016,2,1,-1.6,,-4.8,,1011.2,250,6.2,94.00,0
26,61456,7,2016,2,2,-1.9,,-5.1,,1011.4,250,4.6,91.00,0
27,61457,7,2016,2,3,-2.2,,-4.7,,1011.6,250,3.1,90.00,0
28,61458,7,2016,2,4,-2.6,,-4.6,,1012,240,4.1,93.00,0
29,61459,7,2016,2,5,-2.4,,-5.2,,1012.4,250,5.1,93.00,0
30,61460,7,2016,2,6,-2.7,,-5.7,,1012.5,260,5.1,93.00,0
31,61461,7,2016,2,7,-3.3,,-6.3,,1012.4,270,4.1,93.00,0
32,61462,7,2016,2,8,-3.9,,-6.6,,1012.5,250,2.1,94.00,4
33,61463,7,2016,2,9,-5.6,,-8.1,,1012.1,250,2.6,94.00,144
34,61464,7,2016,2,10,-5.8,,-7.8,,1012.5,250,2.6,95.00,317
35,61465,7,2016,2,11,-4.2,,-6.6,,1012.2,230,2.1,95.00,441
36,61466,7,2016,2,12,-3.2,,-4.9,,1012,240,2.1,96.00,509
37,61467,7,2016,2,13,-2.5,,-4.7,,1011.8,220,3.1,89.00,515
38,61468,7,2016,2,14,-1.7,,-4.8,,1012,230,4.6,79.00,459
39,61469,7,2016,2,15,-2,,-5,,1012.2,220,6.2,78.00,346
40,61470,7,2016,2,16,-1.6,,-5.1,,1011,220,6.2,78.00,182
41,61471,7,2016,2,17,-1.8,,-4.6,,1009.9,220,7.2,82.00,18
42,61472,7,2016,2,18,-1.5,,-4.3,,1009.2,220,6.2,86.00,0
43,61473,7,2016,2,19,-1.1,,-3.8,,1008.7,220,6.7,86.00,0
44,61474,7,2016,2,20,-0.7,,-3.5,,1008.3,220,6.2,85.00,0
45,61475,7,2016,2,21,-0.7,,-3.3,,1008.1,220,6.7,86.00,0
46,61476,7,2016,2,22,-0.6,,-3.1,,1008.6,220,6.7,84.00,0
47,61477,7,2016,2,23,-0.6,,-3.2,,1008.2,220,6.7,84.00,0
48,61478,7,2016,3,0,-0.6,,-3.2,,1008.2,220,7.2,83.00,0
49,61479,7,2016,3,1,-1.5,,-3.4,,1007.8,210,6.7,83.00,0
50,61480,7,2016,3,2,-0.8,,-3.4,,1007.1,210,6.2,82.00,0
51,61481,7,2016,3,3,-0.6,,-3.8,,1006.3,210,6.7,82.00,0
52,61482,7,2016,3,4,-1.2,,-3.1,,1005.9,220,4.1,82.00,0
53,61483,7,2016,3,5,-1.1,,-3.4,,1005,220,1.5,83.00,0
54,61484,7,2016,3,6,-0.6,,-4.1,,1004.4,220,4.6,88.00,0
55,61485,7,2016,3,7,-0.8,,-4.1,,1003.6,210,3.6,95.00,0
56,61486,7,2016,3,8,-1.2,,-3.7,,1003.5,200,3.1,96.00,4
57,61487,7,2016,3,9,-1.1,,-3.2,,1002.4,200,3.6,96.00,144
58,61488,7,2016,3,10,-1.2,,-3,,1001.8,190,2.6,97.00,317
59,61489,7,2016,3,11,-1.1,,-2,7,1001.6,210,3.1,97.00,442
60,61490,7,2016,3,12,-1,,-1.3,11,1001.9,220,2.6,96.00,510
61,61491,7,2016,3,13,-1,,-1.4,3,1002.4,240,1.5,97.00,517
62,61492,7,2016,3,14,-0.9,,-1.4,2,1002.8,230,2.1,97.00,462
63,61493,7,2016,3,15,-0.7,,-1.3,2,1003.3,240,3.1,97.00,349
64,61494,7,2016,3,16,-0.4,,-1.5,,1003.6,290,4.1,97.00,185
65,61495,7,2016,3,17,-0.6,,-2.7,7,1004,310,5.1,97.00,19
66,61496,7,2016,3,18,-2.9,,-5.6,,1005.3,330,7.7,96.00,0
67,61497,7,2016,3,19,-4.2,,-7.6,,1007.1,330,7.2,97.00,0
68,61498,7,2016,3,20,-5.4,,-9.1,,1008.5,320,6.7,96.00,0
69,61499,7,2016,3,21,-8.2,,-12.4,,1012.7,320,7.7,97.00,0
70,61500,7,2016,3,22,-9.4,,-13.4,,1014,320,7.2,97.00,0
71,61501,7,2016,3,23,-10.6,,-14.7,,1015.3,320,7.7,97.00,0
72,61502,7,2016,4,0,-11.7,,-15.8,,1016.4,320,6.7,98.00,0
73,61503,7,2016,4,1,-12.9,,-17.2,,1017.3,340,5.1,98.00,0
74,61504,7,2016,4,2,-13.7,,-18.4,,1018.4,320,6.1,99.00,0
75,61505,7,2016,4,3,-14.9,,-18.9,,1019.4,320,5.1,98.00,0
76,61506,7,2016,4,4,-15.4,,-18.9,2,1020.5,320,5.1,98.00,0
77,61507,7,2016,4,5,-9.5,,-17.3,,1033.7,210,5,98.00,0
78,61508,7,2016,4,6,-12.5,,-16.4,,1031.8,174,1.6,98.00,0
79,61509,7,2016,4,7,-16.2,,-18.1,,1031.6,176,1.3,98.00,0
80,61510,7,2016,4,8,-15.8,,-17.2,,1029.8,84,0.5,98.00,5
81,61511,7,2016,4,9,-12.9,,-14.1,,1029.5,198,3.2,98.00,144
82,61512,7,2016,4,10,-9.1,,-10.2,,1029.5,210,3.6,97.00,318
83,61513,7,2016,4,11,-10.8,,-11.7,,1029.5,190,3.1,91.00,443
84,61514,7,2016,4,12,-7.2,,-7.8,,1029.2,210,4.6,87.00,512
85,61515,7,2016,4,13,-6.1,,-6.9,,1029.2,196,6,83.00,519
86,61516,7,2016,4,14,-3.3,,-7.2,,1028.8,220,4.6,83.00,465
87,61517,7,2016,4,15,-1.8,,-7,,1027.7,240,4.1,88.00,352
88,61518,7,2016,4,16,-1.4,,-6.7,,1026.7,270,3.6,98.00,188
89,61519,7,2016,4,17,0,,-5.5,,1025.8,270,1,98.00,21
90,61520,7,2016,4,18,0.8,,-8.1,,1025.3,220,2.6,93.00,0
91,61521,7,2016,4,19,0.3,,-8.4,,1025.2,240,2.1,88.00,0
92,61522,7,2016,4,20,-4.3,,-8.8,,1025,220,1,83.00,0
93,61523,7,2016,4,21,-6.8,,-10,,1025.3,240,1,78.00,0
94,61524,7,2016,4,22,-7,,-8.6,,1025.5,240,0.5,76.00,0
95,61525,7,2016,4,23,-6.8,,-10.1,,1026,230,2.1,74.00,0
96,61526,7,2016,5,0,-3.6,,-7.3,,1026.1,230,3.1,72.00,0
97,61527,7,2016,5,1,-3.1,,-5.5,,1026,230,2.6,73.00,0
98,61528,7,2016,5,2,-6.2,,-8.4,,1026,360,0,73.00,0
99,61529,7,2016,5,3,-5.7,,-7.3,,1026.1,180,2.1,74.00,0
100,61530,7,2016,5,4,-8,,-8.4,,1026.2,200,1.5,79.00,0
101,61531,7,2016,5,5,-7.7,,-8.2,,1026,260,1,83.00,0
102,61532,7,2016,5,6,-8.6,,-9.3,,1025.8,260,1.5,76.00,0
103,61533,7,2016,5,7,-7.8,,,,1025.7,180,1.5,78.00,0
104,61534,7,2016,5,8,-7.3,,-7.9,,1025.8,180,2.6,81.00,5
105,61535,7,2016,5,9,-7.4,,-8,,1025.9,180,1.5,77.00,145
106,61536,7,2016,5,10,-8.6,,-9.3,,1026,180,0.5,74.00,319
107,61537,7,2016,5,11,-8.8,,-9.6,,1026,170,0.5,72.00,445
108,61538,7,2016,5,12,-6.9,,-7.4,,1025.7,120,1,66.00,514
109,61539,7,2016,5,13,-5.5,,-7,,1026.6,200,0.5,67.00,522
110,61540,7,2016,5,14,-4.6,,-5,,1026,360,0,68.00,467
111,61541,7,2016,5,15,-4,,-4.4,,1025.4,360,0,75.00,355
112,61542,7,2016,5,16,-1.6,,-5.5,,1025.1,360,0,75.00,192
113,61543,7,2016,5,17,-0.5,,-5,,1024.2,140,2.1,80.00,22
114,61544,7,2016,5,18,-0.9,,-5,,1024.3,340,0.5,77.00,0
115,61545,7,2016,5,19,-1.6,,-5,,1024.4,350,1,68.00,0
116,61546,7,2016,5,20,-2.7,,-4.9,,1024.9,60,2.1,68.00,0
117,61547,7,2016,5,21,-3.3,,-5.3,,1025.2,30,1.5,69.00,0
118,61548,7,2016,5,22,-4,,-5.5,,1025.2,50,1.5,73.00,0
119,61549,7,2016,5,23,-4.9,,-6.4,,1024.8,60,1.5,76.00,0
120,61550,7,2016,6,0,-6.2,,-7,,1025.1,30,1.5,73.16,0
121,61551,7,2016,6,1,-5.3,,-6.3,,1025.2,50,1,75.12,0
122,61552,7,2016,6,2,-4.1,,-5.7,,1024.9,10,1.5,76.55,0
123,61553,7,2016,6,3,-6.7,,-7.4,,1025,320,1.5,78.59,0
124,61554,7,2016,6,4,-6.5,,-7,,1024.4,60,2.1,79.50,0
125,61555,7,2016,6,5,-6.5,,-8,,1023.6,60,1.5,82.58,0
126,61556,7,2016,6,6,-7.5,,-8.1,,1024.1,70,1,84.28,0
127,61557,7,2016,6,7,-8.6,,-9.2,,1024.2,60,1.5,84.67,0
128,61558,7,2016,6,8,-9.2,,-10,,1024,60,1.5,85.75,5
129,61559,7,2016,6,9,-9.6,,-10.3,,1024,50,1.5,84.53,146
130,61560,7,2016,6,10,-7.9,,-8.6,,1024,60,2.6,79.72,321
131,61561,7,2016,6,11,-7.3,,-7.9,,1024.2,50,2.6,73.54,447
132,61562,7,2016,6,12,-6.9,,-7.5,,1023.8,60,3.1,69.31,516
133,61563,7,2016,6,13,-5.3,,-5.8,,1024.3,90,3.1,66.82,524
134,61564,7,2016,6,14,-4.4,,-5.8,,1024,70,3.1,64.57,471
135,61565,7,2016,6,15,-3,,-5.2,,1022.5,60,3.1,58.05,358
136,61566,7,2016,6,16,-2.6,,-5.3,,1021.5,70,3.6,60.95,195
137,61567,7,2016,6,17,-2,,-5.2,,1020.9,70,4.1,65.40,24
138,61568,7,2016,6,18,-1.9,,-5.2,,1020.6,60,3.6,71.58,0
139,61569,7,2016,6,19,-2,,-5.2,,1020.5,60,4.6,79.76,0
140,61570,7,2016,6,20,-2.4,,-5.3,,1020.6,70,4.1,82.99,0
141,61571,7,2016,6,21,-2.8,,-5.7,,1020.1,70,4.6,87.93,0
142,61572,7,2016,6,22,-2.9,,-5.8,,1019.9,70,3.6,89.62,0
143,61573,7,2016,6,23,-3.2,,-6.1,,1019.7,70,3.6,89.09,0
144,61574,7,2016,7,0,-3.2,,-6.1,,1019.5,70,3.6,88.73,0
145,61575,7,2016,7,1,-3.3,,-6.2,,1019.3,70,2.6,88.48,0
146,61576,7,2016,7,2,-3,,-6,,1018.6,80,3.6,87.85,0
147,61577,7,2016,7,3,-2.5,,-5.5,,1017.9,80,3.6,87.43,0
148,61578,7,2016,7,4,-1.9,,-5,,1017.3,80,3.6,87.49,0
149,61579,7,2016,7,5,-1.5,,-4.6,,1017.2,80,3.1,86.62,0
150,61580,7,2016,7,6,-1.6,,-2.4,3,1016.8,70,3.6,86.01,0
151,61581,7,2016,7,7,-1.2,,-1.9,5,1016,80,3.6,85.51,0
152,61582,7,2016,7,8,-0.3,,-0.9,10,1015.7,80,3.1,85.32,5
153,61583,7,2016,7,9,-0.2,,-0.7,,1015.4,70,3.1,84.85,147
154,61584,7,2016,7,10,0.2,,-0.5,7,1015.2,80,3.1,81.57,322
155,61585,7,2016,7,11,0.2,,-0.4,,1015.2,70,3.1,76.57,449
156,61586,7,2016,7,12,0.9,,-0.2,,1015.6,90,2.6,67.06,519
157,61587,7,2016,7,13,1,,0.3,2,1016,80,2.6,57.87,527
158,61588,7,2016,7,14,1.2,,0.6,5,1015.3,70,2.6,58.03,474
159,61589,7,2016,7,15,1.3,,0.8,2,1014.7,70,2.1,56.11,362
160,61590,7,2016,7,16,1.6,,1.2,3,1014.4,80,2.1,56.38,199
161,61591,7,2016,7,17,2.7,,2.3,3,1014.1,130,1.5,57.67,26
162,61592,7,2016,7,18,3.4,,2.8,,1014,160,2.6,66.87,0
163,61593,7,2016,7,19,3.6,,2.6,,1014.5,150,2.1,71.17,0
164,61594,7,2016,7,20,3.7,,2.6,,1014.8,160,2.1,74.14,0
165,61595,7,2016,7,21,3.9,,2.6,,1014.9,130,1.5,78.76,0
166,61596,7,2016,7,22,3.4,,2.3,,1015.2,110,1,84.65,0
167,61597,7,2016,7,23,3.1,,2.2,,1015.5,50,1.5,86.41,0
168,61598,7,2016,8,0,2.1,,1.7,3,1015.5,60,2.1,86.56,0
169,61599,7,2016,8,1,1.9,,1.6,,1015.3,60,2.6,83.38,0
170,61600,7,2016,8,2,1.9,,1.7,2,1014.8,60,2.1,82.64,0
171,61601,7,2016,8,3,1.8,,1.6,,1014.4,60,2.1,83.58,0
172,61602,7,2016,8,4,1.8,,1.6,,1013.5,60,2.1,82.58,0
173,61603,7,2016,8,5,2.4,,2.1,,1012.3,70,3.1,80.17,0
174,61604,7,2016,8,6,2.3,,2,,1011.2,70,4.1,79.33,0
175,61605,7,2016,8,7,1.9,,1.4,,1011.1,70,3.6,80.23,0
176,61606,7,2016,8,8,2,,1.6,,1009.7,60,3.6,79.87,5
177,61607,7,2016,8,9,1.8,,1.3,,1008.3,60,4.1,77.33,148
178,61608,7,2016,8,10,1.9,,1.2,,1007.1,70,5.7,79.28,324
179,61609,7,2016,8,11,2.2,,1.1,,1006.1,80,6.7,82.43,451
180,61610,7,2016,8,12,2.2,,1.2,3,1004.5,70,6.2,77.71,521
181,61611,7,2016,8,13,2.1,,1.4,9,1002.8,70,5.7,71.49,531
182,61612,7,2016,8,14,3,,2.3,,991.3,80,9.3,67.47,477
183,61613,7,2016,8,15,3.4,,3,8,985.4,80,4.6,62.85,365
184,61614,7,2016,8,16,4,,3.7,10,985.2,110,3.6,62.02,202
185,61615,7,2016,8,17,3.8,,3.5,5,984.4,120,2.6,65.85,27
186,61616,7,2016,8,18,5.7,,5,,983.6,170,4.6,66.18,0
187,61617,7,2016,8,19,4.5,,4.2,,,180,6.2,68.15,0
188,61618,7,2016,8,20,3.1,,0.3,,985,210,12.8,70.24,0
189,61619,7,2016,8,21,-5.5,,-11.4,,996.3,250,10.3,71.70,0
190,61620,7,2016,8,22,-6.3,,-10.4,,998.1,270,7.7,73.73,0
191,61621,7,2016,8,23,-6.8,,-11.8,,999.6,260,7.7,68.84,0
192,61622,7,2016,9,0,-8.6,,-12.7,,1000.6,280,5.7,77.43,0
193,61623,7,2016,9,1,-9.6,,-13.4,,1001.8,280,5.1,78.07,0
194,61624,7,2016,9,2,-10.1,,-14.4,,1003.1,280,5.7,78.74,0
195,61625,7,2016,9,3,-11,,-14.8,,1004.2,280,4.1,79.13,0
196,61626,7,2016,9,4,-12,,-15.5,,1005.4,290,5.7,79.78,0
197,61627,7,2016,9,5,-11.9,,-16.8,,1006.4,280,5.7,81.18,0
198,61628,7,2016,9,6,-11.5,,-16.6,,1007.5,280,6.2,81.66,0
199,61629,7,2016,9,7,-11.3,,-16.6,,1008.3,280,6.7,81.14,0
200,61630,7,2016,9,8,-10.9,,-16.9,,1008.7,290,6.7,80.57,5
201,61631,7,2016,9,9,-10.5,,-17,2,1009.2,280,6.7,78.18,149
202,61632,7,2016,9,10,-9.9,,-17,,1010.1,270,6.7,74.52,325
203,61633,7,2016,9,11,-9.4,,-17.4,,1010.9,290,6.2,73.33,453
204,61634,7,2016,9,12,-9.2,,-18.2,,1011.7,290,6.2,72.83,524
205,61635,7,2016,9,13,-9.6,,-17.6,,1012.7,290,3.6,73.12,534
206,61636,7,2016,9,14,-10.3,,-16.4,,1013.6,290,2.6,73.97,481
207,61637,7,2016,9,15,-10.7,,-16.9,,1014.5,280,2.6,78.39,369
208,61638,7,2016,9,16,-11.4,,-16.3,,1015,230,1.5,77.52,207
209,61639,7,2016,9,17,-11.8,,-16.4,,1015.2,230,1.5,78.87,29
210,61640,7,2016,9,18,-13.3,,-16.7,,1015.5,250,1.5,81.76,0
211,61641,7,2016,9,19,-13.4,,-17,,1015.5,210,1.5,83.71,0
212,61642,7,2016,9,20,-15,,-17,,1015.2,190,1.5,84.58,0
213,61643,7,2016,9,21,-15,,-17,,1015.1,170,1.5,83.21,0
214,61644,7,2016,9,22,-15.2,,-16.9,,1015,160,1.5,85.62,0
215,61645,7,2016,9,23,-13.6,,-15.7,,1014.9,80,1,78.05,0
216,61646,7,2016,10,0,-13.5,,-15.4,,1014.1,40,2.1,83.05,0
217,61647,7,2016,10,1,-12.5,,-15.5,,1013.3,60,2.1,78.00,0
218,61648,7,2016,10,2,-12.9,,-15,,1012,60,3.1,76.00,0
219,61649,7,2016,10,3,-12.8,,-14.8,,1011.3,70,3.6,71.00,0
220,61650,7,2016,10,4,-12.2,,-14,,1010.1,60,3.1,67.00,0
221,61651,7,2016,10,5,-11.1,,-13,,1009.4,80,3.6,65.00,0
222,61652,7,2016,10,6,-9.9,,-11.5,,1008.2,80,4.6,64.00,0
223,61653,7,2016,10,7,-9,,-10.3,4,1006.8,80,4.1,64.00,0
224,61654,7,2016,10,8,-7.5,,-9.7,6,1005.2,60,4.1,65.00,6
225,61655,7,2016,10,9,-8.2,,-9.6,7,1003.3,90,4.6,64.00,151
226,61656,7,2016,10,10,-7.8,,-9.2,,1002,70,5.1,65.00,327
227,61657,7,2016,10,11,-7,,-7.5,2,1001,70,5.7,70.00,456
228,61658,7,2016,10,12,-7.1,,-8.4,,1000.2,70,5.7,60.00,527
229,61659,7,2016,10,13,-7,,-8.3,,999.6,70,6.2,60.00,537
230,61660,7,2016,10,14,-6.8,,-7.9,3,998.9,80,6.7,65.00,484
231,61661,7,2016,10,15,-5.9,,-6.8,,998.4,70,3.6,70.00,373
232,61662,7,2016,10,16,-3.7,,-5.2,,997.9,130,3.1,75.00,211
233,61663,7,2016,10,17,-4.9,,-6.4,,997.7,210,9.8,80.00,32
234,61664,7,2016,10,18,-5.4,,-6.2,7,998.7,240,5.7,85.00,0
235,61665,7,2016,10,19,-6.4,,-7.6,9,999.4,250,5.7,90.00,0
236,61666,7,2016,10,20,-7,,-9,,999.9,250,6.2,98.00,0
237,61667,7,2016,10,21,-7.8,,-10.1,,1000.7,270,8.2,97.00,0
238,61668,7,2016,10,22,-9,,-11.5,,1002.1,270,8.2,90.00,0
239,61669,7,2016,10,23,-9.9,,-12.3,,1003.8,270,7.7,91.00,0
240,61670,7,2016,11,0,-10.9,,-13.5,,1004.8,270,7.7,89.91,0
241,61671,7,2016,11,1,-11.8,,-14.8,,1006.2,280,7.2,90.42,0
242,61672,7,2016,11,2,-12.7,,-15.5,,1007.6,280,6.2,91.92,0
243,61673,7,2016,11,3,-13.4,,-16.4,,1008.9,280,5.7,91.10,0
244,61674,7,2016,11,4,-14.2,,-17.1,,1009.9,280,5.1,85.57,0
245,61675,7,2016,11,5,-14.2,,-17.4,,1011,280,6.7,82.25,0
246,61676,7,2016,11,6,-14.1,,-17.6,,1012,270,6.7,74.20,0
247,61677,7,2016,11,7,-13.7,,-17.6,,1012.8,280,6.7,67.08,0
248,61678,7,2016,11,8,-13.4,,-17.9,,1012.9,270,7.7,62.20,6
249,61679,7,2016,11,9,-12.8,,-17.6,,1012.3,270,6.2,56.01,152
250,61680,7,2016,11,10,-11.9,,-17.5,,1012.2,260,5.7,57.47,329
251,61681,7,2016,11,11,-10.5,,-18,,1012.3,270,5.7,53.75,458
252,61682,7,2016,11,12,-11.6,,-18,,1012.7,290,4.6,54.69,530
253,61683,7,2016,11,13,-12.6,,-18.1,,1012.8,280,2.6,54.08,540
254,61684,7,2016,11,14,-12.9,,-17.5,,1012.9,270,2.1,52.41,488
255,61685,7,2016,11,15,-16,,-19.6,,1012.8,260,0.5,57.51,377
256,61686,7,2016,11,16,-17.2,,-19.3,,1012.7,190,1,61.50,215
257,61687,7,2016,11,17,-17.6,,-19.1,,1012.1,170,1,61.38,34
258,61688,7,2016,11,18,-17,,-18.3,,1011.5,170,1.5,60.15,0
259,61689,7,2016,11,19,-14.7,,-16.9,2,1011.2,150,1,61.22,0
260,61690,7,2016,11,20,-13.5,,-15.5,,1010.6,360,0,63.09,0
261,61691,7,2016,11,21,-13.9,,-15.9,,1009.8,50,0.5,65.02,0
262,61692,7,2016,11,22,-14.5,,-16.1,,1008.9,80,1.5,59.26,0
